Name,LinkedIn URL,Current Role,Organization,Location,Why Lookalike
Philippe Anhorn,https://www.linkedin.com/in/anhorn/,Executive Director & Researcher in Health Management,Healthcare network (independent),Switzerland,"Swiss health management executive, researcher in Patients' Partnership, economist — similar blend of healthcare leadership and strategic consulting"
Etienne Caloz,https://ch.linkedin.com/in/etienne-caloz-072314117,Directeur du Centre Hospitalier du Valais Romand,Hôpital du Valais,Valais,"Senior healthcare director in Suisse romande managing a multi-site hospital system (3500 employees)"
Gianni Saitta,https://ch.linkedin.com/in/giannisaitta,Directeur général de la Direction générale de la santé,Etat de Vaud,Vaud,"Cantonal public health director — direct successor-type role to Pétremand's former position"
Robert Mardini,https://www.linkedin.com/in/robert-mardini-478b0222/,Directeur général / CEO,HUG Hôpitaux Universitaires de Genève,Geneva,"CEO of Geneva's university hospital system — top-level Swiss healthcare leadership"
Stanley Hautdidier,https://www.linkedin.com/in/stanley-hautdidier/,Directeur région Vaud et campus Genolier,Swiss Medical Network,Vaud,"Healthcare director managing regional hospital/clinic operations in Suisse romande"
Bossart Cédric,https://ch.linkedin.com/in/bossart-cédric-b9414a5,Directeur,Swiss Medical Network,Switzerland,"Director at Switzerland's largest private hospital network"
Marilyne Delemonte,https://www.linkedin.com/in/marilyne-delemonte-819800209/,Directrice,Swiss Medical Network,Neuchâtel,"Hospital director within Swiss Medical Network in Suisse romande"
Dr. Frédéric Stadler,https://www.linkedin.com/in/dr-frédéric-stadler-ab781852/,Directeur & Consultant en santé,PraxaMed Center AG,Suisse romande,"Healthcare consultant and director — combines clinical expertise with management consulting like Pétremand"
Claude-François Robert,https://ch.linkedin.com/in/claude-françois-robert-a374b04a,Chargé d'enseignement / Spécialiste santé publique,Université de Neuchâtel,Neuchâtel,"Public health specialist with expertise in health policy, prevention, hospital planning — academic + public health combo"
Sophie Ley,https://www.linkedin.com/in/sophie-ley-12a16b3a/,Service de la Santé Publique,Canton de Vaud,Bern,"Senior role in cantonal public health services — same institutional environment as Pétremand's former role"
Olivier Prisi,https://www.linkedin.com/in/olivier-prisi/,Manager et gestion de projets en santé publique,Multiple organizations,Switzerland,"Public health project manager covering prevention, health promotion, and social action in Suisse romande"
